번호	재학생구분	학년/학기	학과	성별	text
65	대학	1	인문계열	여	1학기 때 책 읽으려고 갔는데 먼지가 있었어요. 그래서 책상에 먼지가 없었으면 좋겠어요.
78	대학	3	사회계열	여	KC대학교도서관 재건축해주세요
100	대학	1	사회계열	여	개인스터디할공간이 필요
129	대학	4	인문계열	여	"건물 재건축 및 교체, 내부 리모델링"
37	대학	2	인문계열	남	공부를 할 수 있는 시설이 개선되었으면 좋겠습니다
81	대학	1	기타	여	공부할수있는쾌적한 공간을 마련해주세요. 그저 좁은 공간에 책만 꽉 차서 책이 믾은 건 좋지만 읽을 수 있눈 공간도 급하게 찔끔 만들어놓은듯 느껴지고 보통 다른 대학은 모든 학생들이 공부할 수 있을만큼 크고 쾌적하고 좋은데 저희는 고등학교보다 나쁜거같아 속상합니다...저희 학교에 자부심갖기가 힘듭니다..
139	대학	4	인문계열	여	"논문 열람 가능한 사이트 riss를 학교와 연계해서 학생들이 이용할 수 있게 해주세요. 또한 도서관, 독서실 등 시설도 더 깔끔하게 변경해주세요 제발.."
123	대학	4	예술·체육계열	여	대출불가도서를 대여해주던지 복사기를 고쳐주세요.. 대여도 안되고 복사도 잘안되서 돈만 엄청 나가고 깔끔하게 복사도 잘 안됩니다
59	대학원 석사	4	교육계열(사범계열)	남	대학원 전공과 관련된 국내외 참고도서도 많이 구비하였으면 합니다.
141	대학	2	인문계열	여	더 나아진 도서관을 기대해요
47	대학	3	사회계열	남	도서관 2층 들어서자마자 있는 컴퓨터 공간 외 다른 공간들의 공기가 너무 탁합니다. 들어가서 조금 있다가 기침이 나올 정도입니다. 먼지털이와 걸레로 한번 대청소를 하고 공기청정기를 설치했으면 합니다.
70	대학	1	기타	여	도서관 건물 시설 개설
41	대학	2	인문계열	여	도서관 리모델링을 했으면 좋겠다. 너무 낙후되어있다.
20	대학	3	인문계열	남	도서관 책장이 너무 부실합니다
135	대학	4	사회계열	여	"도서관같은 공간의 경우에는 사람을 끌어들이는 힘이 굉장히 중요하다고 생각하는데, 그런 점이 우리 학교 도서관에는 매우 부족합니다. 우리 학교 도서관의 좋은 점은, 신청 도서는 전부 다 주문해 준다는 점에서 개인적으로 좋습니다. 하지만 이런 부분을 알지 못하는 학생들이 많은 것 같이 보입니다. 위에 개인학습 공간이나 그룹학습 공간의 제공을 묻는 항목이 있는데, 정확히 말하자면 그러한 공간이 있기는 있습니다. 하지만 책 먼지 냄새가 심하게 나고, 여름철에 굉장히 더운데 에어컨이 (컴퓨터 사용 공간에 있는 한대를 제외한)아주 오래된 것들 뿐이라서 여름에 정말 덥습니다. 책 읽을 환경이 아예 안됩니다. 겨울도 마찬가지로 난방이 안됩니다. 되긴 하나 공부를 하면 발이 시려워서 오래 있을 수가 없어요. 우리학교 도서관의 가장 큰 문제점은 사실 서비스가 아니라 시설입니다.... 여름, 겨울철 냉난방이 터무니 없는 수준이고, 학습 공간은 있긴 하나 공간이 답답합니다. 또한 오래된 먼지 냄새같은 것이 나고요. 이런 부분을 해결하는 것이 관건이라고 생각합니다. 저는 도서관 이용을 많이 하는 편인데, 솔직하게 말해서 이용을 많이 해도 애정이 안생기는 환경입니다. 아무리 홍보를 하더라도 이런 부분이 바뀌지 않는다면 도서관 이용률은 평생 저조할 것이라고 아주 확신합니다. 이용 하려고 해도 할 수가 없어요."
125	대학	4	인문계열	여	도서관규모에비해직원수가많아서 직원1명이면충분함. 근로생들이 대출반납정리다하니..
132	대학	4	인문계열	여	도서관리모델링필요!
36	대학	3	의약학·보건계열	여	도서관에 간호학 전공 공부를 할 수 있는 다양한 자료가 있었으면 좋겠습니다. 뿐만 아니라 공부를 할 수 있는 공간이 많았으면 좋겠습니다.
50	대학	1	인문계열	여	"도서관에 대한 홍보를 조금더 하고 프로그램을 개발하여 학생들이 많이 찾아갈 수 있게 하면 좋을 거 같습니다,"
107	대학	3	인문계열	남	"도서관의 위치와 내부 중간에 자유롭게 앉아서 책을 읽을 환경이 필요하고, 지금 이상으로 자유롭게 열람하고 공부할 수 있는 테이블과 같은 환경이 필요하다."
143	대학	1	인문계열	남	도서관이 너무 어지럽게 되어 있기도 하고 저번에 갔을때는 책이 아무렇게나 꽂혀 있는 것도 본적이 있습니다. 저희 학교 도서관에 가는것보다는 가까운 다른 도서관을 가는게 더 낫다고 생각합니다.
85	대학원 박사	7	인문계열	여	도서관이 너무 오래되어서 겨울에는 너무 추워요. 1층 같은 경우는 밖에서 담배피우는 애들때문에 너무 시끄럽구요. 전반적으로 새로운 환경개선이 필요합니다. 교재나 과제에 필요한 도서인 경우 조금더 비치하면 좋을듯합니다. 프린트는 자주 종이가 걸리네요.
131	대학	2	사회계열	여	도서관이 너무 작아요ㅠ 학교 내에 열람실이 있긴 하지만 도서관 안에서도 공부하고 싶은데 공간이 거의 없어서 불편해요...
62	대학원 석사	6	인문계열	남	도서관이 대학 자료의 보고로서 최신 자료 수집과 학문 연구를 위한 지원에 최선을 다해 주시길 부탁드립니다.
38	대학	4	인문계열	여	도서관이 좀 더 시설이 좋았으면 좋겠습니다
45	대학	2	인문계열	여	"독서를 왜 해야하는지, 독서의 필요성에 대한 특강을 들으면 독서실이용이 조금 더 활발해질 것 같다는 생각이 들어요~ 항상 수고해주셔서 감사합니다"
103	대학	3	인문계열	남	새로운 건물로 다시 지었으면 좋겠다 시설이 초갓집도 아니고 시설이 미비하다
110	대학	1	인문계열	남	설비
57	대학	3	자연과학계열	여	시설 보수
6	대학	3	인문계열	여	시설개선..
84	대학	4	인문계열	여	시설이 개선되었으면 좋겠습니다
112	대학	4	사회계열	여	"시설이 너무 낙후되어있고, 스터디모임이나 공부하는 공간이 턱없이 부족하다."
53	대학	2	인문계열	여	신간도서 자주 구비해주시기 바랍니다.
35	대학원 박사	4	기타	남	신학기마다 새로운 책들을 학과별로 체크해서 구입해주시면 좋을듯 합니다.
4	대학원 석사	2	기타	남	신학으로 설립되었기에 그와 관련된 서적은 타관보다 장서보유는 많아 유익한데 최신 양서가 부족한감이 든다.이에 대하여 참고해주시면 감사하겠고 우리 학생들 이용뿐만 아니라 동네 주민들에게도 계절따라. 시낭송들을 개최하여 독서공간으로 활짝 열린공간이 되었으면 하는 바랍입니다.
52	대학원 박사	6	인문계열	남	앞으로도 많은 발전을 기원합니다
56	대학	2	사회계열	여	없다.
94	대학	3	사회계열	여	열람실부분 타 대학들처럼 개선되었으면 좋겠습니다.
66	대학	1	예술·체육계열	여	열람실에서 주로 공부하기 보단 도서관에서도 공부를 하러 갈 수 있는 환경조성과 홍보가 필요한 것 같다.
23	대학	2	인문계열	여	열람실이랑 도서관을 새로 지어주세요
102	대학	1	의약학·보건계열	여	열람실처럼 개인학습 공간이 따로 마련되었으면 좋겠고 종교 서적이 아닌 베스트 셀러나 다른 분야의 도서도 마련되었으면 좋겠습니다
31	대학	3	사회계열	남	오래된 자료보다 최신자료를 보다 이용하고싶습니다.
76	대학	4	인문계열	여	자격증 취득을 위한 최신도서들이 부족하다 특히나 세법같은 매년 개정되는 내용을 확인하고 찾아 공부해야하는데 최신개정이아닌 2005~2013 사이의 도서들만 있어 법관련책은 매년 최신개정으로 채웠으면 좋겠습니다
42	대학원 석사	6	기타	남	자료를 조금 더 보충해 주셨으면 합니다. 예로 신학 자료 같은 것들을 검색할 때 적잖게 고생을 했습니다.
130	대학	2	사회계열	남	잘 이용하고 있습니다.
39	대학	2	인문계열	여	전반적으로 만족함.
104	대학	3	인문계열	남	전체적인 개혁이 필요하다고 생각합니다
136	대학	1	의약학·보건계열	여	조금 더 공간이 넓었으면 좋겠습니다
34	대학	2	인문계열	여	조금 더 공간이 넓었으면 좋겠습니다.
2	대학	1	인문계열	남	좀더 넓고 좋은 시설과 학습공간이 있었으면 좋겠다
